#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
+-------------+-------------------+------+------+----------------+---------------+
| 273158:4915 | 05/11/16 20:43:22 | 1277 | 1277 | 53900548.343   | 50610867.659  |
| 273302:4919 | 05/13/16 02:13:38 | 417  | 417  | 15569261.254   | 14933252.276  |
| 273402:4924 | 05/14/16 01:49:19 | 193  | 193  | 7006325.061    | 6628630.533   |
| 273403:4924 | 05/14/16 03:05:27 | 53   | 53   | 1932155.788    | 1834285.375   |
| 273404:4924 | 05/14/16 03:31:50 | 18   | 18   | 651633.249     | 615370.075    |
| 273405:4924 | 05/14/16 03:42:33 | 24   | 24   | 865700.434     | 804913.319    |
| 273406:4924 | 05/14/16 03:56:09 | 112  | 112  | 3977786.407    | 3797870.436   |
| 273408:4924 | 05/14/16 04:52:04 | 6    | 6    | 210581.094     | 182127.212    |
| 273409:4924 | 05/14/16 04:56:41 | 225  | 225  | 7717797.043    | 6851982.558   |
| 273411:4924 | 05/14/16 07:38:50 | 29   | 29   | 800243.804     | 749510.231    |
| 273425:4925 | 05/14/16 11:17:57 | 671  | 671  | 26668418.159   | 25357399.533  |
| 273446:4926 | 05/14/16 20:06:55 | 33   | 33   | 2161004.250    | 2020591.438   |
| 273447:4926 | 05/14/16 20:26:09 | 348  | 348  | 21984562.604   | 20923468.418  |
| 273448:4926 | 05/14/16 23:11:51 | 391  | 391  | 22637207.492   | 21537942.472  |
| 273449:4926 | 05/15/16 01:50:28 | 208  | 208  | 11396588.258   | 10877689.462  |
| 273450:4926 | 05/15/16 03:19:37 | 643  | 643  | 32253233.461   | 30882975.990  |
| 273492:4930 | 05/16/16 09:07:35 | 265  | 265  | 12230556.464   | 11707749.612  |
| 273493:4930 | 05/16/16 10:55:49 | 230  | 230  | 10414391.926   | 10008784.088  |
| 273494:4930 | 05/16/16 12:59:45 | 112  | 112  | 4886236.693    | 4733982.452   |
| 273502:4935 | 05/16/16 20:00:07 | 989  | 989  | 46822890.923   | 45090389.523  |
| 273503:4935 | 05/17/16 02:31:25 | 598  | 598  | 25328582.113   | 24548635.794  |
| 273554:4942 | 05/18/16 05:50:33 | 310  | 310  | 22621802.428   | 21763305.405  |
| 273555:4942 | 05/18/16 07:55:51 | 173  | 173  | 12010125.592   | 11622162.371  |
| 273725:4947 | 05/20/16 02:37:26 | 2336 | 2336 | 150360077.117  | 145316812.195 |
| 273728:4947 | 05/20/16 19:02:26 | 99   | 99   | 4971710.509    | 4777124.804   |
| 273730:4947 | 05/20/16 19:47:48 | 2045 | 2045 | 84394192.708   | 82223395.566  |
| 274094:4953 | 05/27/16 02:21:04 | 225  | 225  | 9764242.368    | 9395492.728   |
| 274146:4956 | 05/27/16 22:11:21 | 64   | 64   | 5192727.791    | 4929114.463   |
| 274159:4958 | 05/28/16 14:43:47 | 43   | 43   | 3852768.648    | 3413192.431   |
| 274160:4958 | 05/28/16 15:02:52 | 163  | 163  | 14219135.550   | 13622386.330  |
| 274161:4958 | 05/28/16 16:26:18 | 423  | 423  | 34511919.618   | 33350915.358  |
| 274172:4960 | 05/29/16 00:45:19 | 65   | 65   | 6722155.046    | 5956467.201   |
| 274198:4961 | 05/29/16 20:00:35 | 111  | 111  | 12543591.653   | 11547142.323  |
| 274199:4961 | 05/29/16 20:45:19 | 585  | 585  | 62027278.023   | 59540463.999  |
| 274200:4961 | 05/30/16 00:53:47 | 594  | 594  | 54999812.776   | 53390958.787  |
| 274240:4964 | 05/30/16 13:59:19 | 81   | 81   | 9909874.259    | 9355800.504   |
| 274241:4964 | 05/30/16 14:43:35 | 987  | 985  | 110187253.048  | 106266608.188 |
| 274244:4964 | 05/30/16 22:37:51 | 555  | 555  | 51913443.183   | 50243941.935  |
| 274250:4965 | 05/31/16 05:55:54 | 271  | 271  | 37552600.016   | 34997167.288  |
| 274251:4965 | 05/31/16 10:30:54 | 392  | 392  | 45684393.404   | 44301283.175  |
| 274283:4976 | 06/01/16 03:25:26 | 18   | 18   | 2685096.454    | 323006.812    |
| 274284:4976 | 06/01/16 03:34:51 | 210  | 208  | 29313134.194   | 27657686.574  |
| 274286:4976 | 06/01/16 05:04:18 | 95   | 95   | 12907272.436   | 12353662.215  |
| 274314:4979 | 06/01/16 15:02:56 | 61   | 61   | 10328243.260   | 9283177.490   |
| 274315:4979 | 06/01/16 15:32:32 | 354  | 353  | 56946702.420   | 53997701.015  |
| 274316:4979 | 06/01/16 18:20:25 | 899  | 899  | 124245898.218  | 120070093.233 |
| 274317:4979 | 06/02/16 00:39:53 | 3    | 3    | 377404.657     | 294669.098    |
| 274319:4979 | 06/02/16 00:56:19 | 193  | 193  | 23751237.019   | 22940292.048  |
| 274335:4980 | 06/02/16 09:10:43 | 720  | 720  | 109182025.877  | 104384140.106 |
| 274336:4980 | 06/02/16 15:25:02 | 14   | 14   | 1932373.037    | 1678501.719   |
| 274337:4980 | 06/02/16 15:33:18 | 15   | 15   | 2060688.499    | 1716012.400   |
| 274338:4980 | 06/02/16 15:41:22 | 583  | 583  | 75076366.062   | 70428492.397  |
| 274339:4980 | 06/02/16 20:15:40 | 52   | 52   | 6196147.768    | 5896102.408   |
| 274344:4980 | 06/02/16 21:29:06 | 558  | 558  | 61508447.309   | 59537043.204  |
| 274345:4980 | 06/03/16 01:37:46 | 137  | 137  | 14102680.726   | 13668010.879  |
| 274382:4984 | 06/03/16 15:37:56 | 51   | 51   | 7508152.365    | 6988666.156   |
| 274387:4985 | 06/03/16 19:10:56 | 236  | 236  | 39108651.884   | 37089019.464  |
| 274388:4985 | 06/03/16 21:32:38 | 1477 | 1477 | 202605651.795  | 195612329.243 |
| 274420:4988 | 06/04/16 20:17:21 | 153  | 153  | 24107325.424   | 23024102.481  |
| 274421:4988 | 06/04/16 21:28:04 | 293  | 293  | 45120382.910   | 43304071.974  |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub) | totrecorded(/ub) |
+-------+------+-------+-------+-------------------+------------------+
| 22    | 60   | 22486 | 22481 | 1891918690.875    | 1810958934.428   |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
