#Data tag : online , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
+-------------+-------------------+------+------+----------------+---------------+
| 258159:4449 | 10/03/15 02:09:44 | 502  | 502  | 26257864.241   | 25681319.565  |
| 258174:4452 | 10/03/15 19:18:47 | 28   | 28   | 1821321.966    | 1785544.712   |
| 258175:4452 | 10/03/15 19:33:22 | 101  | 101  | 6484618.344    | 6321719.899   |
| 258177:4452 | 10/03/15 20:21:28 | 2092 | 2092 | 113534057.265  | 110701786.159 |
| 258211:4455 | 10/04/15 16:53:43 | 89   | 89   | 6787473.586    | 6523252.444   |
| 258213:4455 | 10/04/15 17:32:20 | 165  | 165  | 11828945.238   | 11525115.399  |
| 258214:4455 | 10/04/15 18:38:59 | 217  | 217  | 15562278.583   | 15172855.551  |
| 258215:4455 | 10/04/15 20:07:49 | 7    | 7    | 491937.815     | 479947.229    |
| 258287:4462 | 10/05/15 15:43:58 | 181  | 181  | 13892806.871   | 13349174.930  |
| 258312:4463 | 10/05/15 20:13:57 | 14   | 14   | 1072311.262    | 967045.448    |
| 258313:4463 | 10/05/15 20:20:17 | 289  | 289  | 21335241.159   | 20725619.795  |
| 258320:4463 | 10/05/15 22:17:07 | 369  | 369  | 25737316.917   | 25128817.343  |
| 258335:4464 | 10/06/15 05:07:11 | 26   | 26   | 2040646.585    | 1908436.317   |
| 258403:4466 | 10/06/15 14:10:07 | 251  | 251  | 15964270.273   | 15612888.766  |
| 258425:4467 | 10/06/15 18:49:22 | 135  | 135  | 10708648.487   | 10248475.723  |
| 258426:4467 | 10/06/15 20:00:12 | 10   | 10   | 772446.258     | 751812.067    |
| 258427:4467 | 10/06/15 20:06:18 | 107  | 107  | 8191107.713    | 7901302.746   |
| 258428:4467 | 10/06/15 20:54:17 | 324  | 324  | 23896752.893   | 23293177.541  |
| 258432:4467 | 10/06/15 23:04:32 | 4    | 4    | 286875.631     | 279944.749    |
| 258434:4467 | 10/06/15 23:11:39 | 453  | 453  | 31288029.742   | 30536738.787  |
| 258440:4467 | 10/07/15 02:10:32 | 731  | 731  | 45806946.085   | 44624917.855  |
| 258443:4467 | 10/07/15 07:04:45 | 291  | 291  | 17095774.227   | 16677594.416  |
| 258444:4467 | 10/07/15 09:00:44 | 130  | 130  | 7415021.865    | 7259630.524   |
| 258445:4467 | 10/07/15 09:52:47 | 302  | 302  | 16750403.108   | 16403375.902  |
| 258446:4467 | 10/07/15 11:52:39 | 142  | 142  | 7626932.979    | 7474593.995   |
| 258448:4467 | 10/07/15 12:53:07 | 736  | 736  | 36835418.194   | 35984512.882  |
| 258655:4476 | 10/09/15 11:19:18 | 11   | 11   | 909578.121     | 545324.460    |
| 258656:4476 | 10/09/15 11:24:46 | 336  | 336  | 26497029.194   | 25658143.511  |
| 258694:4477 | 10/09/15 19:54:40 | 180  | 180  | 16272306.869   | 15484720.024  |
| 258702:4479 | 10/10/15 07:30:35 | 353  | 353  | 30490785.082   | 29269333.702  |
| 258703:4479 | 10/10/15 09:48:30 | 475  | 475  | 38890159.887   | 37780638.601  |
| 258705:4479 | 10/10/15 13:01:34 | 100  | 100  | 7822201.271    | 7604760.367   |
| 258706:4479 | 10/10/15 13:44:18 | 733  | 733  | 53509756.467   | 52122692.407  |
| 258712:4479 | 10/10/15 18:36:26 | 524  | 524  | 35417226.914   | 34495799.123  |
| 258713:4479 | 10/10/15 22:03:19 | 161  | 161  | 10407188.252   | 10164347.291  |
| 258714:4479 | 10/10/15 23:06:33 | 68   | 68   | 4333033.539    | 4230949.908   |
| 258741:4485 | 10/11/15 15:11:43 | 53   | 53   | 5009753.823    | 4629671.544   |
